"","BB1_IgA","BB2_IgA","MB1_IgA","BM1_IgA","BS3_A1AT","BS3_MPO","BB1_A1AG","BS5_A1AT","BS5_MPO","MS1","BS1","BS2","BS3","BS5","n"
"India_r",85,85,85,83,83,83,84,83,83,77,79,76,79,79,85
"India_nr",220,220,220,218,217,217,220,214,214,209,208,209,208,202,220
"India_r_e",51,51,51,50,50,50,50,50,50,46,47,46,46,49,51
"India_nr_e",115,115,115,113,113,113,115,112,112,110,108,110,108,111,115
"India_r_u",34,34,34,33,33,33,34,33,33,31,32,30,33,30,34
"India_nr_u",104,104,104,104,103,103,104,101,101,98,99,98,99,90,104
"Malawi_r",24,24,24,16,16,16,19,12,12,16,18,15,12,9,24
"Malawi_nr",79,79,79,62,62,62,68,41,41,58,55,56,54,44,79
"UK_r",27,27,23,13,23,22,0,24,24,25,27,26,25,25,27
"UK_nr",24,24,19,14,20,20,0,22,20,23,23,24,23,24,24
