"","FP","TP","TN","FN","accuracy"
"B1.F1",3,5,2,0,0.7
"B1.F2",2,3,4,2,0.636363636363636
"B1.F3",3,3,2,2,0.5
"B1.F4",3,3,2,3,0.454545454545455
"B1.F5",3,1,2,4,0.3
"B1.F11",2,3,3,3,0.545454545454545
"B1.F21",4,1,1,4,0.2
"B1.F31",3,2,3,3,0.454545454545455
"B1.F41",3,0,2,5,0.2
"B1.F51",3,3,2,2,0.5
"B1.F12",2,1,3,5,0.363636363636364
"B1.F22",4,2,1,3,0.3
"B1.F32",2,3,3,2,0.6
"B1.F42",3,4,2,1,0.6
"B1.F52",5,3,1,2,0.363636363636364
"B1.F13",2,3,3,2,0.6
"B1.F23",2,1,4,4,0.454545454545455
"B1.F33",2,2,3,3,0.5
"B1.F43",2,4,3,1,0.7
"B1.F53",2,1,3,5,0.363636363636364
"B1.F14",4,2,1,4,0.272727272727273
"B1.F24",4,3,1,2,0.4
"B1.F34",6,4,0,1,0.363636363636364
"B1.F44",3,2,2,3,0.4
"B1.F54",2,3,3,2,0.6
"B1.F15",2,2,3,3,0.5
"B1.F25",3,3,2,3,0.454545454545455
"B1.F35",3,4,2,1,0.6
"B1.F45",1,3,4,2,0.7
"B1.F55",2,2,4,3,0.545454545454545
"B1.F16",5,3,1,2,0.363636363636364
"B1.F26",4,2,1,3,0.3
"B1.F36",5,3,0,2,0.3
"B1.F46",1,1,4,4,0.5
"B1.F56",3,3,2,3,0.454545454545455
"B1.F17",1,3,4,2,0.7
"B1.F27",1,2,4,3,0.6
"B1.F37",3,2,3,3,0.454545454545455
"B1.F47",3,4,2,2,0.545454545454545
"B1.F57",3,3,2,2,0.5
"B1.F18",1,2,4,3,0.6
"B1.F28",4,4,1,2,0.454545454545455
"B1.F38",4,3,1,2,0.4
"B1.F48",4,3,1,2,0.4
"B1.F58",4,2,2,3,0.363636363636364
"B1.F19",2,4,3,2,0.636363636363636
"B1.F29",2,4,3,1,0.7
"B1.F39",3,5,3,0,0.727272727272727
"B1.F49",3,3,2,2,0.5
"B1.F59",2,2,3,3,0.5
"B1.F110",4,3,1,2,0.4
"B1.F210",4,3,1,3,0.363636363636364
"B1.F310",2,4,3,1,0.7
"B1.F410",4,2,2,3,0.363636363636364
"B1.F510",1,2,4,3,0.6
"B1.F111",1,2,5,3,0.636363636363636
"B1.F211",0,2,5,4,0.636363636363636
"B1.F311",3,3,2,2,0.5
"B1.F411",0,4,5,1,0.9
"B1.F511",2,3,3,2,0.6
"B1.F112",2,2,4,4,0.5
"B1.F212",2,2,3,3,0.5
"B1.F312",1,3,4,2,0.7
"B1.F412",1,2,4,3,0.6
"B1.F512",4,2,1,3,0.3
"B1.F113",4,3,1,2,0.4
"B1.F213",4,4,1,2,0.454545454545455
"B1.F313",1,3,4,2,0.7
"B1.F413",3,3,2,2,0.5
"B1.F513",3,3,3,2,0.545454545454545
"B1.F114",3,2,2,3,0.4
"B1.F214",2,1,4,4,0.454545454545455
"B1.F314",3,3,2,3,0.454545454545455
"B1.F414",4,3,1,2,0.4
"B1.F514",2,3,3,2,0.6
"B1.F115",3,1,2,4,0.3
"B1.F215",3,2,2,3,0.4
"B1.F315",3,4,2,2,0.545454545454545
"B1.F415",4,2,1,3,0.3
"B1.F515",3,4,3,1,0.636363636363636
"B1.F116",0,3,5,2,0.8
"B1.F216",1,2,4,3,0.6
"B1.F316",1,5,5,0,0.909090909090909
"B1.F416",3,3,2,2,0.5
"B1.F516",2,3,3,3,0.545454545454545
"B1.F117",3,4,2,1,0.6
"B1.F217",2,2,4,3,0.545454545454545
"B1.F317",1,1,4,4,0.5
"B1.F417",3,4,2,1,0.6
"B1.F517",1,3,4,3,0.636363636363636
"B1.F118",4,3,1,2,0.4
"B1.F218",2,0,3,6,0.272727272727273
"B1.F318",2,3,3,2,0.6
"B1.F418",3,4,2,1,0.6
"B1.F518",3,2,3,3,0.454545454545455
"B1.F119",2,3,3,3,0.545454545454545
"B1.F219",3,3,2,2,0.5
"B1.F319",3,3,3,2,0.545454545454545
"B1.F419",2,1,3,4,0.4
"B1.F519",3,1,2,4,0.3
